primarySlug,longitude,latitude,postalCode
pizza-hut-delivery-genval,4.49388,50.7211,1332
mazzerina-genval,4.4903866,50.7278508,1332
la-mie-de-pain,4.4818072,50.73103,1310
manga-sushi,4.345278,50.8136442,1180
fisheri-fresh-fish-burger,4.3469148,50.8260505,1060
doce-tentacao-patisserie,4.3525658,50.8234457,1060
le-seth,4.344723,50.8288159,1060
sweet-sky,4.3582232,50.8043606,1180
pizzeria-lami-uccle-1,4.3524397,50.7923391,1180
hanelly-food,4.3444473,50.8310437,1060
da-giuse,4.3359815,50.803356,1180
speedy,4.3272253,50.8194704,1190
le-pont-de-luttre,4.3243399,50.8238736,1190
royale-pizza-lemonnier,4.3416667,50.8403242,1000
superbowl,4.3356853,50.8361743,1060
gel-tov,4.3604243,50.8142693,1180
latlas-1060,4.344943,50.830689,1060
le-guignol-uccle,4.3479304,50.792975,1180
da-momo-new,4.3476888,50.8256727,1060
ispahan-uccle,4.3662882,50.8046088,1180
mcdoners,4.3658038,50.8144757,1180
dominos-pizza-uccle-chaussee-d-alsemberg,4.3364939,50.8047298,1180
wok-o-clock-halal-saint-gilles-1,4.3443215,50.8300826,1060
poke-more,4.3585209,50.8039222,1180
