restaurant_name,menu_item_name,price,description
Porto Fino,Pizza poseidon,12.5,"Tomaat, mozzarella, zeevruchten, tonijn, room, look, zalm."
Porto Fino,Pizza chef,10.0,"Tomaat, mozzarella, ham, salami, ui, paprika, ansjovis."
Porto Fino,Pizza zalm,11.0,"Tomaat, mozzarella, zalm, look, room."
Porto Fino,Pizza Parma,9.0,"Tomaat, mozzarella, parmaham, raket, carpaccio."
Porto Fino,Pizza scampi van't huis,12.0,"Mozzarella, scampi, verse tomaat, look."
Porto Fino,Pizza savoyarde,11.0,"Mozzarella, ui, spek, aardappel, reblochon, room."
Porto Fino,Pizza compagnarde,11.0,"Mozzarella, kip, ui, champignons, reblochon, room."
Porto Fino,Pizza fiore,11.0,"Mozzarella, verse tomaat, gruyÃ¨re, raket, parmaham"
Porto Fino,Pizza forestiere,11.0,"Mozzarella, champignons, aardappel, spek, room, ei."
Porto Fino,Pizza zeevruchten,12.0,"Mozzarella, tomaten, zeevruchten."
Morepizzaâ€™s ,Pizza Salami,12.95,Mozzarella en salami.
Morepizzaâ€™s ,Pizza BBQ Saus Chicken,12.95,"Mozzarellakaas, uien, kip en paprika."
Morepizzaâ€™s ,Pizza BBQ Saus More Special Spicy,12.95,"BBQ Saus, shoarma, kip, salami en uien."
Morepizzaâ€™s ,Pizza Tonno,12.95,"Mozzarellakaas, tonijn, paprika, uien en olijven."
Morepizzaâ€™s ,Pizza Margherita,12.95,Mozzarella.
Morepizzaâ€™s ,Pizza Ham,12.95,Mozzarella en ham.
Morepizzaâ€™s ,Pizza Pepperoni ,12.95,"Mozzarellakaas, salami en jalapeÃ±o "
Morepizzaâ€™s ,Pizza Quattro Stagioni,12.95,"Mozzarella, ham, salami en paprika."
Morepizzaâ€™s ,Pizza Capricciosa,12.95,"Mozzarella, ham en champignons."
Morepizzaâ€™s ,Pizza HawaÃ¯ ,12.95,"Mozzarellakaas, ham, kip en ananas."
Morepizzaâ€™s ,Pizza Spicy,12.95,"Mozzarellakaas, salami, paprika, uien en jalapeÃ±o "
Morepizzaâ€™s ,Pizza Chicken,12.95,"Mozzarellakaas, uien, kip, paprika, en ananas."
Morepizzaâ€™s ,Pizza Cheesy,12.95,"Mozzarella, Fetakaas en Gorgonzola"
Morepizzaâ€™s ,Pizza Meat Feast,12.95,"Mozzarellakaas, ham, salami kip en shoarma."
Urban pizza,Pizza HawaÃ¯ ,12.95,Ham and pineapple.
Urban pizza,Pizza Vegetarisch Deluxe ,13.95,Fresh vegetables with Feta cheese.
Urban pizza,Pizza Americano,12.95,"Salami, onions and jalapeÃ±os."
Urban pizza,Pizza Hot and Spicy ,13.95,"JalapeÃ±os, dÃ¶ner and onions."
Urban pizza,Pizza DÃ¶ner Party ,13.95,"DÃ¶ner, onion and peppers."
Urban pizza,Pizza Chicken Party,13.95,"Spicy chicken filet, onions and peppers."
Urban pizza,Pizza Mix Meat,14.95,"Mixed meat, onion and paprika."
Urban pizza,Pizza Scampi Deluxe ,13.95,"Scampis, onions and garlic."
Urban pizza,Pizza Frutti Di Mare ,14.95,"Seafood, tuna and onions."
Urban pizza,Pizza BBQ Chicken Hot ,15.95,"Chicken, onions, peppers, jalapeÃ±os and special BBQ sauce."
Urban pizza,Pizza Portabella,14.95,"Portabello, champignons, met gekarameliseerde uien."
Urban pizza,Pizza Portabella Di Pollo,15.95,"Gegrilde kip, portobello, champignon, gekarameliseerde uien, geroosterde look en pikante paprika."
Urban pizza,Pizza Creamy Pollo,14.95,"Gegrilde kip, uien, paprika, roomsaus, Mozzarella en Feta kaas."
Urban pizza,Pizza Creamy Pollo Deluxe,15.95,"Ham, pikante salami, gegrilde kip, uien, paprika, roomsaus, Mozzarella en Feta kaas."
Broodjescorner,Turkse Pizza Naturel,3.5,
Broodjescorner,Turkse Pizza Alleen Salade,3.5,
Broodjescorner,Turkse Pizza Kip,7.0,
Broodjescorner,Turkse Pizza Vlees,7.0,
Broodjescorner,Turkse Pizza Shoarma,7.0,
Broodjescorner,Turkse Pizza Gehakt,7.0,
Broodjescorner,Turkse Pizza Kebab,7.0,
Morepizzaâ€™s ,Pizza Meatlovers,12.95,"Mozzarellakaas, ham, salami, shoarma, uien en champignons."
Morepizzaâ€™s ,Pizza Scampi,12.95,"Mozzarellakaas, uien, scampi en knoflookpoeder."
Morepizzaâ€™s ,Pizza Vegetarisch,12.95,"Mozzarellakaas, maÃ¯s, paprika, uien , champignons en olijven."
Morepizzaâ€™s ,Pizza Hot Chicken,12.95,"Mozzarellakaas, uien, kip , paprika en jalapeÃ±os ."
