restaurant_id,menu_item_name,price,description,platform,restaurant_id_platform_unique
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza alsace,22.5,"Gerookte spekblokjes, ui, champignons, looksaus, mozzarella en tomatensaus/ Lardons fumÃ©s, oignons, champignons, sauce Ã  lâ€™ail, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza supreme,22.5,"Rundvlees, pepperoniworst, champignons, groene paprika, ui, mozzarella en tomatensaus/ Viande de bÅ“uf, saucisson pepperoni, champignons, poivrons verts, oignons, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza pick and mix,22.5,"Saus naar keuze, mozzarella, 3 ingrediÃ«nten naar keuze/ Sauce au choix, mozzarella, 3 ingrÃ©dients au choix",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza 4 fromages / 4 kazen,24.5,"Emmental, geitenkaas, Fourme dâ€™Ambert AOP, mozzarella en zure room/ Emmental, fromage de chÃ¨vre, Fourme dâ€™Ambert, AOP, mozzarella, crÃ¨me Ã©paisse",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza grimbergen ,24.5,"Italiaanse ham, champignons, mozzarella, zure room, Grimbergen abdijkaas/ Jambon italien, champignons, mozzarella, crÃ¨me Ã©paisse, fromage dâ€™abbaye Grimbergen",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza super supreme ,24.5,"Rundvlees, varkensvlees, ham, pepperoniworst, champignons, groene paprika, ui, zwarte olijven, mozzarella en tomatensaus. *For quality perseveration during delivery we will not cut your pizza/ Viande de bÅ“uf, viande de porc, jambon, saucisson pepperoni, champignons, poivrons verts, oignons, olives noires, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza thon / Pizza tonijn,24.5,"Tonijn, zwarte olijven, rode uien, peterselie, tomatensaus en mozzarella. *For quality perseveration during delivery we will not cut your pizza/ Thon, olives noires, oignons rouges, persil, sauce tomate, mozzarella",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza Margherita,13.5,"Tomatensaus en mozzarella/ Sauce tomate, mozzarella",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza cheesam,14.5,"Ham, extra mozzarella en tomatensaus/ Jambon, extra mozzarella et sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza garden lovers,15.5,"Champignons, groene paprika, ui, tomatenblokjes, mozzarella en tomatensaus/ Champignons, poivrons verts, oignons, tomates en dÃ©s, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza forestiÃ¨re,15.5,"Ham, champignons, tomatenblokjes, mozzarella en tomatensaus/ Jambon, champignons, tomates en dÃ©s, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza Hawaiian,18.0,"Ananas, ham, champignons, mozzarella en tomatensaus/ Ananas, jambon, champignons, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza hot â€˜n spicy,18.0,"Kruidig rundvlees, chilipepers, ui, tomatenblokjes, mozzarella en tomatensaus/ Viande de bÅ“uf Ã©picÃ©e, piments verts, oignons, tomates en dÃ©s, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza pepper,18.0,"Dubbele portie rundsvlees, tomatenblokjes, rode uit, pepersaus, tomatensaus en mozzarella/ Viande de bÅ“uf ""double portion"", tomates en dÃ©s, oignons rouges, sauce au poivre, sauce tomate, mozzarella",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza sweet chicken curry,18.0,"Gegrilde kip, ananas, tomatenblokjes, zachte currysaus, mozzarella en tomatensaus/ Poulet grillÃ©, ananas, tomates en dÃ©s, sauce curry, douce, mozzarella, sauce tomate",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza barbecue chicken,18.0,"Gegrilde kip, champignons, groene paprika, ui, mozzarella en barbecuesaus/ Poulet grillÃ©, champignons, poivrons verts, oignons, mozzarella, sauce barbecue",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
69622dae-4b4f-441e-bd4d-2c02dbc19519,Pizza barbecue,18.0,"Rundvlees ""dubbel"", gerookte baconreepjes, ui, mozzarella en barbecuesaus/ Viande de bÅ“uf ""double portion"", bacon fumÃ©, oignons, mozzarella, sauce barbecue",ubereats,ubereats_69622dae-4b4f-441e-bd4d-2c02dbc19519
